event_id,data_status,season,team,player_name,position_group,minute,x_120,y_80,zone_id,field_side,field_depth,foul_type,current_yellow_before_event,transition_danger,referee_strictness_proxy,model_probability_yellow,is_yellow_card,model_probability_red,is_red_card
SYN_FOUL_000012,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Mohamed Salah,FW,49,71.66,35.45,Z060,central,middle_third,shirt_pull,0,low,0.285,0.0281,0,0.003,0
SYN_FOUL_000013,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Mohamed Salah,FW,49,117.1,56.82,Z094,right_half_space,penalty_area,tactical_foul,1,medium,0.277,0.0655,0,0.003,0
SYN_FOUL_000014,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Trent Alexander-Arnold,DF,88,10.37,18.14,Z010,left_wing,own_half,dissent,0,low,0.533,0.1362,0,0.003,0
SYN_FOUL_000015,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Dominik Szoboszlai,MF,36,96.96,6.66,Z073,left_wing,final_third_outside_box,late_tackle,0,medium,0.507,0.1054,0,0.003,0
SYN_FOUL_000016,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Mohamed Salah,FW,43,100.38,28.87,Z083,left_half_space,penalty_area,late_tackle,0,medium,0.333,0.0713,0,0.003,0
SYN_FOUL_000017,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Virgil van Dijk,DF,79,1.85,58.23,Z006,right_half_space,own_half,handball,0,low,0.448,0.0583,0,0.003,0
SYN_FOUL_000018,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Dominik Szoboszlai,MF,13,51.96,54.59,Z046,right_half_space,middle_third,normal_contact,0,high,0.352,0.0768,0,0.003,0
SYN_FOUL_000019,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Dominik Szoboszlai,MF,62,91.94,68.56,Z079,right_wing,final_third_outside_box,late_tackle,1,low,0.274,0.075,0,0.003,0
SYN_FOUL_000020,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Cody Gakpo,FW,56,24.44,54.56,Z022,right_half_space,own_half,late_tackle,0,low,0.669,0.1161,0,0.003,0
SYN_FOUL_000021,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Ryan Gravenberch,MF,39,102.05,23.73,Z083,left_half_space,penalty_area,normal_contact,0,low,0.776,0.0686,0,0.003,0
SYN_FOUL_000022,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Luis Díaz,FW,61,31.76,20.17,Z027,left_half_space,own_half,normal_contact,0,medium,0.872,0.0688,0,0.003,0
SYN_FOUL_000023,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Mohamed Salah,FW,4,71.06,66.79,Z063,right_wing,middle_third,late_tackle,1,low,0.497,0.0907,1,0.053,0
SYN_FOUL_000024,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Virgil van Dijk,DF,30,117.04,49.3,Z093,central,six_yard_box,dissent,1,low,0.779,0.1541,1,0.053,0
SYN_FOUL_000025,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Ibrahima Konaté,DF,60,112.05,45.86,Z093,central,six_yard_box,reckless_tackle,0,high,0.461,0.4469,0,0.021,0
SYN_FOUL_000026,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Trent Alexander-Arnold,DF,90,28.08,12.67,Z018,left_wing,own_half,tactical_foul,0,medium,0.551,0.1521,0,0.003,0
SYN_FOUL_000027,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Conor Bradley,DF,56,19.45,19.53,Z010,left_wing,own_half,handball,0,low,0.21,0.0319,0,0.003,0
SYN_FOUL_000028,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Mohamed Salah,FW,41,63.88,15.92,Z050,left_wing,middle_third,dissent,0,medium,0.418,0.0737,0,0.003,0
SYN_FOUL_000029,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Mohamed Salah,FW,38,34.67,70.64,Z032,right_wing,own_half,late_tackle,0,medium,0.331,0.0711,0,0.003,0
SYN_FOUL_000030,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Cody Gakpo,FW,94,91.33,61.86,Z079,right_wing,final_third_outside_box,late_tackle,0,low,0.246,0.079,0,0.003,0
SYN_FOUL_000031,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Virgil van Dijk,DF,75,36.67,51.07,Z030,right_half_space,own_half,dissent,0,medium,0.761,0.1502,1,0.003,0
SYN_FOUL_000032,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Darwin Núñez,FW,23,118.91,2.0,Z089,left_wing,wide_final_third,shirt_pull,0,low,0.63,0.0478,0,0.003,0
SYN_FOUL_000033,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Luis Díaz,FW,87,19.19,7.85,Z009,left_wing,own_half,late_tackle,0,low,0.759,0.163,0,0.003,0
SYN_FOUL_000034,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Andy Robertson,DF,33,109.48,24.99,Z083,left_half_space,penalty_area,late_tackle,0,medium,0.622,0.1353,0,0.003,0
SYN_FOUL_000035,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Wataru Endo,MF,10,96.29,28.59,Z075,left_half_space,final_third_outside_box,late_tackle,0,low,0.267,0.0742,0,0.003,0
SYN_FOUL_000036,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Mohamed Salah,FW,55,89.8,79.88,Z072,right_wing,final_third_outside_box,tactical_foul,0,low,0.513,0.0928,0,0.003,0
SYN_FOUL_000037,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Ibrahima Konaté,DF,69,3.84,40.09,Z005,central,own_half,normal_contact,0,medium,0.508,0.0504,0,0.003,0
SYN_FOUL_000038,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Mohamed Salah,FW,50,57.15,63.22,Z047,right_wing,middle_third,late_tackle,0,medium,0.352,0.0733,0,0.003,0
SYN_FOUL_000039,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Mohamed Salah,FW,34,116.44,67.49,Z095,right_wing,wide_final_third,stopping_counter,0,low,0.491,0.09,0,0.003,0
SYN_FOUL_000040,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Dominik Szoboszlai,MF,48,72.99,54.39,Z062,right_half_space,middle_third,reckless_tackle,0,low,0.423,0.2362,0,0.021,0
SYN_FOUL_000041,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Dominik Szoboszlai,MF,73,73.58,26.4,Z059,left_half_space,middle_third,dissent,0,high,0.503,0.1908,0,0.003,0
SYN_FOUL_000042,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Andy Robertson,DF,4,103.61,7.66,Z081,left_wing,wide_final_third,late_tackle,0,low,0.431,0.1034,0,0.003,0
SYN_FOUL_000043,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Conor Bradley,DF,46,26.12,24.21,Z019,left_half_space,own_half,handball,0,low,0.557,0.0542,0,0.003,0
SYN_FOUL_000044,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Andy Robertson,DF,18,91.57,25.43,Z075,left_half_space,final_third_outside_box,normal_contact,0,low,0.294,0.0363,0,0.003,0
SYN_FOUL_000045,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Alexis Mac Allister,MF,40,10.79,0.29,Z009,left_wing,own_half,late_tackle,0,medium,0.336,0.0822,0,0.003,0
SYN_FOUL_000046,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Darwin Núñez,FW,54,113.64,38.8,Z092,central,six_yard_box,normal_contact,0,low,0.594,0.0453,0,0.003,0
SYN_FOUL_000047,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Cody Gakpo,FW,9,8.86,63.75,Z007,right_wing,own_half,handball,0,low,0.641,0.0486,0,0.003,0
SYN_FOUL_000048,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Andy Robertson,DF,28,95.22,35.12,Z076,central,final_third_outside_box,tactical_foul,0,high,0.219,0.1546,1,0.003,0
SYN_FOUL_000049,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Ryan Gravenberch,MF,15,82.3,78.0,Z072,right_wing,final_third_outside_box,handball,0,high,0.738,0.1336,0,0.003,0
SYN_FOUL_000050,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Cody Gakpo,FW,53,85.64,67.8,Z071,right_wing,final_third_outside_box,late_tackle,0,low,0.706,0.1224,0,0.003,0
SYN_FOUL_000051,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Dominik Szoboszlai,MF,73,28.77,43.47,Z021,central,own_half,normal_contact,0,medium,0.549,0.0487,1,0.003,0
SYN_FOUL_000052,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Darwin Núñez,FW,64,72.56,61.34,Z063,right_wing,middle_third,normal_contact,0,high,0.247,0.057,0,0.003,0
SYN_FOUL_000053,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Luis Díaz,FW,49,105.72,11.49,Z082,left_wing,wide_final_third,stopping_counter,0,medium,0.634,0.1106,1,0.003,0
SYN_FOUL_000054,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Alexis Mac Allister,MF,86,38.57,74.23,Z032,right_wing,own_half,late_tackle,0,medium,0.725,0.1764,0,0.003,0
SYN_FOUL_000055,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Alexis Mac Allister,MF,27,26.96,57.46,Z022,right_half_space,own_half,dissent,0,high,0.638,0.2262,0,0.003,0
SYN_FOUL_000056,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Curtis Jones,MF,41,58.22,77.1,Z048,right_wing,middle_third,stopping_counter,1,medium,0.467,0.0995,0,0.003,0
SYN_FOUL_000057,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Curtis Jones,MF,10,42.16,12.97,Z034,left_wing,middle_third,normal_contact,0,low,0.784,0.0694,0,0.003,0
SYN_FOUL_000058,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Andy Robertson,DF,52,104.92,11.1,Z082,left_wing,wide_final_third,reckless_tackle,0,medium,0.141,0.1787,0,0.021,0
SYN_FOUL_000059,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Wataru Endo,MF,51,49.53,50.83,Z038,right_half_space,middle_third,normal_contact,0,medium,0.311,0.0338,0,0.003,0
SYN_FOUL_000060,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Curtis Jones,MF,40,110.42,27.44,Z091,left_half_space,penalty_area,late_tackle,0,low,0.603,0.1207,0,0.003,0
SYN_FOUL_000061,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Ryan Gravenberch,MF,75,13.69,47.79,Z013,central,own_half,stopping_counter,0,medium,0.163,0.0636,0,0.003,0
SYN_FOUL_000062,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Curtis Jones,MF,30,19.74,19.71,Z010,left_wing,own_half,tactical_foul,0,medium,0.463,0.0989,0,0.003,0
SYN_FOUL_000063,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Dominik Szoboszlai,MF,75,59.84,54.99,Z046,right_half_space,middle_third,late_tackle,1,low,0.744,0.1469,0,0.003,0
SYN_FOUL_000064,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Ibrahima Konaté,DF,18,29.11,52.98,Z022,right_half_space,own_half,normal_contact,0,medium,0.274,0.0352,0,0.003,0
SYN_FOUL_000065,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Virgil van Dijk,DF,48,78.29,25.87,Z059,left_half_space,middle_third,tactical_foul,1,low,0.861,0.1867,0,0.003,0
SYN_FOUL_000066,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Andy Robertson,DF,3,81.76,42.0,Z069,central,final_third_outside_box,stopping_counter,0,low,0.677,0.1459,0,0.003,0
SYN_FOUL_000067,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Virgil van Dijk,DF,71,45.63,68.57,Z039,right_wing,middle_third,handball,0,low,0.64,0.0614,0,0.003,0
SYN_FOUL_000068,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Federico Chiesa,FW,51,50.87,38.93,Z044,central,middle_third,handball,0,low,0.193,0.0243,0,0.003,0
SYN_FOUL_000069,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Dominik Szoboszlai,MF,50,67.57,25.28,Z051,left_half_space,middle_third,normal_contact,0,low,0.479,0.0438,0,0.003,0
SYN_FOUL_000070,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Curtis Jones,MF,44,63.33,4.02,Z049,left_wing,middle_third,dissent,0,medium,0.638,0.1161,0,0.003,0
SYN_FOUL_000071,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Virgil van Dijk,DF,43,32.34,41.8,Z029,central,own_half,shirt_pull,0,medium,0.77,0.0747,0,0.003,0
SYN_FOUL_000072,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Cody Gakpo,FW,27,82.8,62.4,Z071,right_wing,final_third_outside_box,stopping_counter,0,high,0.925,0.3057,0,0.003,0
SYN_FOUL_000073,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Ryan Gravenberch,MF,90,4.79,77.39,Z008,right_wing,own_half,normal_contact,0,low,0.053,0.0289,0,0.003,0
SYN_FOUL_000074,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Trent Alexander-Arnold,DF,29,84.4,15.86,Z066,left_wing,final_third_outside_box,tactical_foul,0,medium,0.717,0.1542,1,0.003,0
SYN_FOUL_000075,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Diogo Jota,FW,35,40.28,66.35,Z039,right_wing,middle_third,normal_contact,0,high,0.306,0.0623,0,0.003,0
SYN_FOUL_000076,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Ryan Gravenberch,MF,90,85.21,27.34,Z067,left_half_space,final_third_outside_box,reckless_tackle,0,low,0.399,0.2766,0,0.021,0
SYN_FOUL_000077,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Wataru Endo,MF,38,55.59,54.63,Z046,right_half_space,middle_third,reckless_tackle,0,low,0.303,0.2035,0,0.021,0
SYN_FOUL_000078,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Alexis Mac Allister,MF,24,71.16,11.68,Z058,left_wing,middle_third,stopping_counter,0,low,0.957,0.195,0,0.003,0
SYN_FOUL_000079,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Dominik Szoboszlai,MF,4,42.42,45.96,Z037,central,middle_third,late_tackle,0,low,0.637,0.1267,0,0.003,0
SYN_FOUL_000080,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Luis Díaz,FW,89,63.36,23.69,Z051,left_half_space,middle_third,normal_contact,0,low,0.405,0.0431,1,0.003,0
SYN_FOUL_000081,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Ryan Gravenberch,MF,29,54.58,40.55,Z045,central,middle_third,shirt_pull,0,high,0.351,0.0766,0,0.003,0
SYN_FOUL_000082,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Alexis Mac Allister,MF,25,90.24,58.43,Z078,right_half_space,final_third_outside_box,normal_contact,0,low,0.736,0.0646,0,0.003,0
SYN_FOUL_000083,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Curtis Jones,MF,71,43.02,38.11,Z036,central,middle_third,late_tackle,0,medium,0.67,0.1326,0,0.003,0
SYN_FOUL_000084,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Ibrahima Konaté,DF,46,3.57,9.66,Z001,left_wing,own_half,reckless_tackle,0,high,0.359,0.4073,1,0.021,0
SYN_FOUL_000085,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Dominik Szoboszlai,MF,7,100.77,22.16,Z083,left_half_space,penalty_area,normal_contact,0,high,0.718,0.1301,0,0.003,0
SYN_FOUL_000086,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Alexis Mac Allister,MF,62,45.2,75.83,Z040,right_wing,middle_third,normal_contact,0,medium,0.616,0.054,0,0.003,0
SYN_FOUL_000087,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Cody Gakpo,FW,69,17.49,31.05,Z012,central,own_half,tactical_foul,0,medium,0.721,0.125,1,0.003,0
SYN_FOUL_000088,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Virgil van Dijk,DF,67,39.03,5.86,Z025,left_wing,own_half,normal_contact,0,low,0.576,0.0558,0,0.003,0
SYN_FOUL_000089,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Cody Gakpo,FW,57,30.01,39.19,Z028,central,own_half,handball,0,medium,0.163,0.0232,0,0.003,0
SYN_FOUL_000090,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Cody Gakpo,FW,22,105.34,23.83,Z083,left_half_space,penalty_area,normal_contact,0,low,0.904,0.0722,0,0.003,0
SYN_FOUL_000091,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Luis Díaz,FW,29,82.96,75.4,Z072,right_wing,final_third_outside_box,shirt_pull,0,medium,0.362,0.0316,0,0.003,0
SYN_FOUL_000092,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Ibrahima Konaté,DF,4,75.66,18.29,Z058,left_wing,middle_third,handball,0,medium,0.409,0.0433,0,0.003,0
SYN_FOUL_000093,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Virgil van Dijk,DF,23,64.8,22.56,Z051,left_half_space,middle_third,late_tackle,0,medium,0.618,0.1345,0,0.003,0
SYN_FOUL_000094,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Dominik Szoboszlai,MF,63,12.04,29.74,Z011,left_half_space,own_half,stopping_counter,0,high,0.682,0.2575,1,0.003,0
SYN_FOUL_000095,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Ibrahima Konaté,DF,87,117.88,78.89,Z096,right_wing,wide_final_third,stopping_counter,0,medium,0.917,0.2437,0,0.003,0
SYN_FOUL_000096,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Joe Gomez,DF,93,72.38,79.83,Z064,right_wing,middle_third,dissent,0,medium,0.583,0.1459,0,0.003,0
SYN_FOUL_000097,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Ryan Gravenberch,MF,77,21.57,64.55,Z023,right_wing,own_half,late_tackle,1,low,0.474,0.1255,0,0.003,0
SYN_FOUL_000098,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Mohamed Salah,FW,51,112.81,58.83,Z094,right_half_space,penalty_area,dissent,0,medium,0.575,0.0928,0,0.003,0
SYN_FOUL_000099,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Andy Robertson,DF,73,71.51,26.91,Z059,left_half_space,middle_third,normal_contact,0,high,0.152,0.0626,0,0.003,0
SYN_FOUL_000100,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Kostas Tsimikas,DF,3,55.87,53.89,Z046,right_half_space,middle_third,late_tackle,0,medium,0.472,0.1097,0,0.003,0
SYN_FOUL_000101,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Joe Gomez,DF,42,114.51,76.42,Z096,right_wing,wide_final_third,stopping_counter,0,high,0.342,0.1821,0,0.003,0
SYN_FOUL_000102,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Andy Robertson,DF,95,47.54,68.69,Z039,right_wing,middle_third,normal_contact,0,low,0.47,0.0602,0,0.003,0
SYN_FOUL_000103,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Dominik Szoboszlai,MF,92,97.96,77.99,Z080,right_wing,final_third_outside_box,tactical_foul,0,medium,0.206,0.0855,0,0.003,0
SYN_FOUL_000104,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Dominik Szoboszlai,MF,27,39.45,2.03,Z025,left_wing,own_half,handball,0,high,0.401,0.0825,0,0.003,0
SYN_FOUL_000105,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Cody Gakpo,FW,73,111.41,19.28,Z090,left_wing,wide_final_third,tactical_foul,0,medium,0.188,0.0574,0,0.003,0
SYN_FOUL_000106,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Trent Alexander-Arnold,DF,1,118.29,38.17,Z092,central,six_yard_box,late_tackle,0,low,0.367,0.0943,0,0.003,0
SYN_FOUL_000107,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Curtis Jones,MF,21,64.75,35.59,Z052,central,middle_third,late_tackle,0,low,0.014,0.0508,0,0.003,0
SYN_FOUL_000108,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Mohamed Salah,FW,45,26.2,35.47,Z020,central,own_half,reckless_tackle,0,low,0.213,0.1599,0,0.021,0
SYN_FOUL_000109,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Trent Alexander-Arnold,DF,88,43.56,36.49,Z036,central,middle_third,normal_contact,0,high,0.428,0.1176,0,0.003,0
SYN_FOUL_000110,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Conor Bradley,DF,64,88.8,20.36,Z067,left_half_space,final_third_outside_box,shirt_pull,0,medium,0.266,0.0348,0,0.003,0
SYN_FOUL_000111,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Andy Robertson,DF,52,65.57,4.37,Z049,left_wing,middle_third,late_tackle,0,medium,0.64,0.1388,0,0.003,0
SYN_FOUL_000112,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Curtis Jones,MF,82,72.87,17.27,Z058,left_wing,middle_third,stopping_counter,0,low,0.777,0.189,0,0.003,0
SYN_FOUL_000113,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Ryan Gravenberch,MF,60,66.73,20.49,Z051,left_half_space,middle_third,dissent,1,low,0.493,0.0944,1,0.053,0
SYN_FOUL_000114,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Jarell Quansah,DF,19,1.05,60.94,Z007,right_wing,own_half,shirt_pull,0,medium,0.309,0.0371,0,0.003,1
SYN_FOUL_000115,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Darwin Núñez,FW,35,71.1,19.25,Z058,left_wing,middle_third,normal_contact,0,high,0.851,0.1373,0,0.003,0
SYN_FOUL_000116,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Alexis Mac Allister,MF,86,5.54,30.5,Z004,central,own_half,normal_contact,0,low,0.671,0.0741,0,0.003,0
SYN_FOUL_000117,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Virgil van Dijk,DF,70,64.75,45.71,Z053,central,middle_third,normal_contact,0,medium,0.792,0.0771,0,0.003,0
SYN_FOUL_000118,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Dominik Szoboszlai,MF,81,10.83,22.77,Z011,left_half_space,own_half,shirt_pull,0,low,0.275,0.0407,0,0.003,0
SYN_FOUL_000119,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Alexis Mac Allister,MF,72,68.59,75.3,Z056,right_wing,middle_third,tactical_foul,0,medium,0.472,0.1002,0,0.003,0
SYN_FOUL_000120,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Ibrahima Konaté,DF,60,101.75,60.74,Z087,right_wing,wide_final_third,handball,0,high,0.508,0.1055,0,0.003,0
SYN_FOUL_000121,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Wataru Endo,MF,7,31.16,0.4,Z025,left_wing,own_half,tactical_foul,0,medium,0.615,0.1228,0,0.003,0
SYN_FOUL_000122,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Cody Gakpo,FW,35,82.4,76.16,Z072,right_wing,final_third_outside_box,late_tackle,0,medium,0.385,0.0769,0,0.003,0
SYN_FOUL_000123,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Cody Gakpo,FW,46,45.17,54.09,Z038,right_half_space,middle_third,shirt_pull,0,high,0.221,0.0548,0,0.003,0
SYN_FOUL_000124,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Mohamed Salah,FW,37,61.58,64.44,Z055,right_wing,middle_third,tactical_foul,0,low,0.576,0.1017,0,0.003,0
SYN_FOUL_000125,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Alexis Mac Allister,MF,82,41.5,12.6,Z034,left_wing,middle_third,late_tackle,0,low,0.498,0.1297,0,0.003,0
SYN_FOUL_000126,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Virgil van Dijk,DF,22,15.66,17.83,Z010,left_wing,own_half,tactical_foul,0,medium,0.552,0.1227,0,0.003,0
SYN_FOUL_000127,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Cody Gakpo,FW,86,52.26,70.47,Z048,right_wing,middle_third,normal_contact,0,low,0.44,0.0454,0,0.003,0
SYN_FOUL_000128,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Trent Alexander-Arnold,DF,30,112.06,76.0,Z096,right_wing,wide_final_third,shirt_pull,0,medium,0.801,0.0781,0,0.003,0
SYN_FOUL_000129,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Ryan Gravenberch,MF,59,18.44,47.34,Z013,central,own_half,normal_contact,1,low,0.688,0.0601,0,0.003,0
SYN_FOUL_000130,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Andy Robertson,DF,13,105.08,49.3,Z085,central,penalty_area,normal_contact,0,low,0.72,0.0693,0,0.003,0
SYN_FOUL_000131,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Ibrahima Konaté,DF,17,119.84,43.4,Z093,central,six_yard_box,dissent,0,high,0.527,0.2131,0,0.003,0
SYN_FOUL_000132,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Virgil van Dijk,DF,83,110.56,54.06,Z094,right_half_space,penalty_area,shirt_pull,1,medium,0.586,0.0716,0,0.003,0
