squad_no,player_name,short_name,position_group,age,matches_played_pm,starts_sm,complete_matches_cm,sub_appearances_am,bench_or_c_col,minutes,yellow_cards,red_cards,goals_raw_bdfutbol,model_role,league_goals_outfield,goals_against_gk_from_raw,goals_per_90,cards_per_90,preferred_foot_model_assumption,source
20,Diogo Jota,Jota,FW,28,26,14,2,12,3,1194,2,0,6,Centre forward / penalty-box finisher,6,,0.4522613065326633,0.1507537688442211,Right,BDFutbol public 2024-25 Liverpool Premier League squad table; footed/role fields are model assumptions
9,Darwin Núñez,Darwin Núñez,FW,25,30,8,2,22,5,1119,8,0,5,Centre forward / runner,5,,0.40214477211796246,0.6434316353887399,Right,BDFutbol public 2024-25 Liverpool Premier League squad table; footed/role fields are model assumptions
21,Kostas Tsimikas,Tsimikas,DF,28,18,9,4,9,16,834,2,0,0,Left back,0,,0.0,0.2158273381294964,Left,BDFutbol public 2024-25 Liverpool Premier League squad table; footed/role fields are model assumptions
56,Vítězslav Jaroš,Jaroš,GK,23,1,0,0,1,11,11,0,0,0,Goalkeeper,0,,0.0,0.0,Right,BDFutbol public 2024-25 Liverpool Premier League squad table; footed/role fields are model assumptions
84,Conor Bradley,Bradley,DF,21,19,7,1,12,6,750,4,0,0,Right back,0,,0.0,0.48,Right,BDFutbol public 2024-25 Liverpool Premier League squad table; footed/role fields are model assumptions
3,Wataru Endo,Endo,MF,31,20,1,0,19,17,261,0,0,0,Defensive midfielder,0,,0.0,0.0,Right,BDFutbol public 2024-25 Liverpool Premier League squad table; footed/role fields are model assumptions
19,Harvey Elliott,Elliott,MF,21,18,2,1,16,12,359,1,0,1,Attacking midfielder / right-sided creator,1,,0.25069637883008355,0.25069637883008355,Left,BDFutbol public 2024-25 Liverpool Premier League squad table; footed/role fields are model assumptions
78,Jarell Quansah,Quansah,DF,21,13,4,3,9,25,488,2,0,0,Centre back,0,,0.0,0.3688524590163934,Right,BDFutbol public 2024-25 Liverpool Premier League squad table; footed/role fields are model assumptions
2,Joe Gomez,Gomez,DF,27,9,6,4,3,10,518,1,0,0,Defender,0,,0.0,0.17374517374517376,Right,BDFutbol public 2024-25 Liverpool Premier League squad table; footed/role fields are model assumptions
14,Federico Chiesa,Chiesa,FW,27,6,1,0,5,13,104,0,0,0,Winger / forward,0,,0.0,0.0,Right,BDFutbol public 2024-25 Liverpool Premier League squad table; footed/role fields are model assumptions
80,Tyler Morton,Morton,MF,22,0,0,0,0,8,0,0,0,0,Midfielder,0,,0.0,0.0,Unknown,BDFutbol public 2024-25 Liverpool Premier League squad table; footed/role fields are model assumptions
76,Jayden Danns,Danns,FW,18,1,0,0,1,1,10,0,0,0,Forward,0,,0.0,0.0,Unknown,BDFutbol public 2024-25 Liverpool Premier League squad table; footed/role fields are model assumptions
53,James McConnell,McConnell,MF,20,0,0,0,0,4,0,0,0,0,Midfielder,0,,0.0,0.0,Unknown,BDFutbol public 2024-25 Liverpool Premier League squad table; footed/role fields are model assumptions
98,Trey Nyoni,Nyoni,MF,17,0,0,0,0,4,0,0,0,0,Midfielder,0,,0.0,0.0,Unknown,BDFutbol public 2024-25 Liverpool Premier League squad table; footed/role fields are model assumptions
95,Harvey Davies,Davies,GK,21,0,0,0,0,3,0,0,0,0,Goalkeeper,0,,0.0,0.0,Unknown,BDFutbol public 2024-25 Liverpool Premier League squad table; footed/role fields are model assumptions
65,Amara Nallo,Nallo,DF,18,0,0,0,0,1,0,0,0,0,Defender,0,,0.0,0.0,Unknown,BDFutbol public 2024-25 Liverpool Premier League squad table; footed/role fields are model assumptions
77,James Norris,Norris,DF,21,0,0,0,0,0,0,0,0,0,Defender,0,,0.0,0.0,Unknown,BDFutbol public 2024-25 Liverpool Premier League squad table; footed/role fields are model assumptions
52,Isaac Mabaya,Mabaya,DF,20,0,0,0,0,0,0,0,0,0,Defender,0,,0.0,0.0,Unknown,BDFutbol public 2024-25 Liverpool Premier League squad table; footed/role fields are model assumptions
68,Kieran Morrison,Morrison,MF,18,0,0,0,0,0,0,0,0,0,Midfielder,0,,0.0,0.0,Unknown,BDFutbol public 2024-25 Liverpool Premier League squad table; footed/role fields are model assumptions
51,Trent Kone-Doherty,Kone-Doherty,FW,18,0,0,0,0,0,0,0,0,0,Forward,0,,0.0,0.0,Unknown,BDFutbol public 2024-25 Liverpool Premier League squad table; footed/role fields are model assumptions
